rank,word,frequency,doc_freq(共59卷)
1,one,520,58
2,people,490,59
3,make,443,58
4,use,369,56
5,say,321,53
6,work,308,53
7,may,308,56
8,write,297,59
9,word,288,58
10,time,273,55
11,take,259,56
12,find,253,58
13,new,249,54
14,give,241,57
15,good,240,54
16,many,237,54
17,human,236,51
18,change,234,52
19,follow,227,58
20,way,218,54
21,record,212,43
22,help,211,53
23,get,210,52
24,world,209,50
25,would,203,48
26,best,202,53
27,student,199,37
28,child,198,38
29,year,197,51
30,study,190,52
31,learn,190,48
32,like,189,50
33,allow,188,59
34,read,177,52
35,even,176,51
36,social,176,45
37,also,168,50
38,life,160,52
39,must,159,49
40,become,159,51
41,think,154,48
42,long,152,57
43,bank,152,49
44,need,150,50
45,food,148,40
46,could,146,45
47,university,140,34
48,live,139,49
49,research,138,43
50,much,137,49
51,end,136,53
52,high,136,40
53,feel,134,50
54,problem,134,44
55,school,132,30
56,country,132,35
57,different,132,48
58,come,131,50
59,technology,128,37
60,job,126,39
61,develop,124,44
62,show,122,50
63,parent,122,28
64,require,120,55
65,great,119,50
66,company,118,40
67,data,117,30
68,author,117,44
69,increase,117,47
70,often,116,48
71,experience,116,45
72,information,115,41
73,government,113,29
74,speak,109,51
75,science,109,27
76,essay,108,56
77,without,108,43
78,thing,107,45
79,might,106,34
80,state,105,37
81,product,104,27
82,try,104,47
83,begin,104,44
84,see,104,45
85,example,103,43
86,woman,103,23
87,benefit,102,46
88,know,102,41
89,health,102,34
90,place,101,44
91,likely,97,42
92,understand,96,43
93,others,96,39
94,mean,96,39
95,college,96,27
96,public,94,30
97,employee,93,20
98,provide,93,43
99,keep,92,43
100,least,91,58
101,business,91,36
102,first,91,40
103,pay,90,35
104,well,89,45
105,around,89,45
106,want,88,37
107,start,87,41
108,family,87,38
109,create,86,41
110,whether,86,33
111,behavior,86,26
112,large,85,38
113,cost,85,35
114,animal,85,24
115,share,85,30
116,education,84,30
117,play,83,44
118,ten,83,50
119,cause,83,43
120,climate,82,25
121,impact,81,41
122,lead,81,47
123,scientist,81,31
124,interest,80,41
125,environment,80,40
126,skill,80,30
127,day,80,35
128,hard,79,37
129,ability,79,39
130,researcher,79,31
131,improve,79,36
132,look,78,40
133,number,78,44
134,listen,77,56
135,include,77,39
136,robot,77,11
137,important,77,45
138,focus,77,40
139,grow,76,39
140,idea,76,35
141,build,76,34
142,worker,74,29
143,city,74,20
144,space,74,17
145,young,73,30
146,accord,73,41
147,future,73,37
148,area,73,32
149,teacher,73,12
150,set,72,41
151,brain,72,23
152,economic,71,18
153,another,71,40
154,energy,71,20
155,group,71,31
156,report,71,36
157,level,71,32
158,believe,70,37
159,effect,69,38
160,turn,69,34
161,plan,69,28
162,system,68,30
163,risk,68,31
164,reduce,68,33
165,still,68,36
166,talk,67,46
167,goal,67,29
168,issue,67,33
169,medium,67,25
170,teach,67,30
171,relationship,66,28
172,late,66,35
173,something,66,31
174,attention,66,30
175,however,65,34
176,call,65,38
177,academic,65,25
178,spend,64,28
179,low,64,31
180,carefully,64,52
181,recent,64,36
182,result,64,33
183,language,64,21
184,market,63,30
185,view,63,36
186,offer,63,35
187,meet,63,34
188,early,63,31
189,farm,63,15
190,translate,63,59
191,possible,63,34
192,lot,63,35
193,person,63,31
194,sense,62,31
195,right,62,27
196,money,62,28
197,rather,61,35
198,among,61,37
199,society,61,30
200,put,61,34
201,industry,61,29
202,personal,61,36
203,last,60,34
204,natural,60,26
205,care,60,28
206,little,60,33
207,price,60,16
208,value,60,32
209,happen,59,33
210,small,59,33
211,community,59,27
212,list,59,50
213,seem,59,34
214,program,59,25
215,fact,59,32
216,tend,59,31
217,design,58,29
218,environmental,58,21
219,every,58,34
220,individual,58,32
221,scientific,58,25
222,big,57,33
223,rise,57,30
224,yet,57,33
225,back,56,32
226,bring,56,31
227,online,56,20
228,process,56,36
229,challenge,56,28
230,book,56,26
231,raise,55,29
232,farmer,55,13
233,mental,55,24
234,common,55,29
235,service,55,25
236,suggest,55,31
237,performance,55,26
238,decision,55,16
239,avoid,54,29
240,contain,54,37
241,far,54,34
242,produce,54,28
243,poor,54,28
244,leave,54,29
245,traffic,54,10
246,face,53,29
247,activity,53,29
248,select,53,47
249,demand,53,28
250,drive,53,25
251,light,53,9
252,culture,53,24
253,art,53,18
254,real,52,28
255,development,52,26
256,resource,52,25
257,reason,52,31
258,gas,52,15
259,emission,52,12
260,effort,52,31
261,difference,52,27
262,percent,52,18
263,save,52,22
264,consumer,52,19
265,task,52,23
266,please,51,46
267,global,51,22
268,decide,51,32
269,policy,51,21
270,kind,51,29
271,instead,50,31
272,train,50,30
273,item,50,46
274,water,50,22
275,car,50,18
276,project,49,27
277,access,49,26
278,hour,49,22
279,run,49,26
280,compare,49,29
281,stop,49,19
282,friend,49,26
283,success,48,26
284,major,48,25
285,point,48,30
286,condition,48,32
287,actually,47,27
288,team,47,19
289,attach,47,39
290,measure,47,24
291,open,47,27
292,claim,47,20
293,always,47,30
294,specie,47,19
295,away,47,36
296,eat,47,20
297,encourage,46,29
298,affect,46,28
299,decade,46,30
300,stress,46,15
301,importance,46,33
302,music,46,12
303,math,46,9
304,lecture,45,41
305,lose,45,28
306,able,45,28
307,clear,45,28
308,already,45,28
309,competition,45,14
310,phone,45,16
311,side,44,23
312,bad,44,27
313,easy,44,29
314,concern,44,30
315,local,44,20
316,someone,44,25
317,today,44,26
318,control,44,26
319,sentence,44,26
320,contribute,43,28
321,economy,43,20
322,test,43,17
323,class,43,20
324,enjoy,43,26
325,knowledge,43,27
326,model,43,18
327,satellite,43,5
328,move,43,24
329,beauty,43,9
330,nation,42,15
331,negative,42,27
332,career,42,23
333,greenhouse,42,10
334,involve,42,29
335,ask,42,27
336,cannot,42,26
337,sleep,42,15
338,gain,42,27
339,protect,42,18
340,achieve,42,26
341,prevent,42,28
342,remain,42,25
343,hold,42,30
344,power,42,19
345,mind,42,21
346,form,41,27
347,course,41,23
348,green,41,11
349,across,41,24
350,advance,41,26
351,patient,41,10
352,quality,41,23
353,positive,41,21
354,field,41,22
355,close,41,28
356,comment,41,33
357,effective,40,30
358,prove,40,28
359,age,40,19
360,advice,40,14
361,adult,40,19
362,term,40,21
363,population,40,22
364,old,40,20
365,law,40,16
366,digital,40,14
367,physical,40,24
368,lack,39,27
369,step,39,21
370,rich,39,19
371,support,39,26
372,enough,39,26
373,continue,39,24
374,reach,39,28
375,national,39,20
376,communication,39,20
377,tell,39,25
378,standard,39,19
379,belief,39,17
380,since,39,21
381,exist,38,24
382,almost,38,22
383,century,38,20
384,case,38,22
385,bear,38,23
386,earn,38,19
387,consequence,38,22
388,peer,38,14
389,enable,38,25
390,habit,37,17
391,customer,37,18
392,opportunity,37,22
393,growth,37,18
394,simply,37,26
395,wrong,37,25
396,strong,37,21
397,past,37,25
398,history,37,27
399,potential,37,21
400,publish,37,21
401,apple,37,4
402,promote,36,24
403,unite,36,18
404,role,36,27
405,memory,36,14
406,cognitive,36,19
407,derive,36,32
408,progress,36,22
409,huge,36,26
410,half,36,27
411,approach,36,22
412,order,36,23
413,buy,36,26
414,degree,36,19
415,expect,36,22
416,draw,36,21
417,meat,36,8
418,accept,35,23
419,average,35,19
420,act,35,24
421,expert,35,20
422,medical,35,18
423,game,35,15
424,consider,35,24
425,break,35,21
426,cite,35,31
427,photo,35,7
428,free,34,22
429,action,34,22
430,house,34,14
431,especially,34,23
432,though,34,21
433,harm,34,18
434,responsibility,34,20
435,journal,34,13
436,million,34,18
437,reflect,34,22
438,picture,34,19
439,healthy,34,24
440,sale,34,13
441,workplace,34,14
442,everyone,33,17
443,situation,33,20
444,appear,33,22
445,fail,33,27
446,factor,33,20
447,fast,33,30
448,similar,33,24
449,tax,33,9
450,various,33,24
451,explain,33,21
452,consumption,33,15
453,never,33,24
454,full,33,24
455,usually,33,27
456,account,33,23
457,cultural,33,16
458,image,33,14
459,computer,33,17
460,short,32,25
461,management,32,19
462,prepare,32,23
463,doctor,32,10
464,fish,32,9
465,maintain,32,15
466,beyond,32,22
467,determine,32,22
468,due,32,22
469,force,32,20
470,traditional,32,16
471,machine,32,14
472,sell,32,18
473,stay,32,25
474,attract,32,22
475,teenager,32,6
476,present,32,20
477,receive,32,22
478,advantage,32,20
479,increasingly,32,23
480,red,32,10
481,body,32,18
482,member,32,18
483,influence,32,21
484,livestock,32,4
485,manager,31,20
486,suffer,31,18
487,evidence,31,18
488,regard,31,22
489,serious,31,23
490,complex,31,18
491,employer,31,15
492,experiment,31,16
493,principle,31,14
494,launch,31,11
495,practice,31,25
496,graduate,31,14
497,colleague,31,20
498,device,31,13
499,certain,31,20
500,depend,30,22
501,let,30,20
502,easily,30,24
503,serve,30,25
504,watch,30,18
505,status,30,16
506,source,30,21
507,love,30,15
508,limit,30,18
509,store,30,13
510,screen,30,9
511,survey,30,18
512,internet,30,10
513,unique,30,20
514,subject,30,16
515,financial,29,20
516,slow,29,22
517,balance,29,17
518,earth,29,14
519,oil,29,10
520,difficult,29,22
521,note,29,20
522,solution,29,18
523,explore,29,24
524,address,29,19
525,matter,29,21
526,top,29,15
527,month,29,21
528,tech,29,9
529,plant,29,14
530,along,29,18
531,strategy,29,18
532,appeal,29,14
533,variety,29,15
534,kid,29,14
535,copy,29,18
536,private,28,14
537,exercise,28,13
538,manage,28,21
539,income,28,11
540,agriculture,28,10
541,fall,28,21
542,cut,28,20
543,really,28,23
544,agree,28,15
545,connect,28,19
546,engage,28,19
547,key,28,23
548,event,28,16
549,trend,27,17
550,reality,27,18
551,reward,27,17
552,ensure,27,20
553,popular,27,18
554,within,27,17
555,next,27,21
556,expensive,27,17
557,sometimes,27,21
558,label,27,6
559,campus,27,10
560,creative,27,12
561,concept,27,18
562,video,27,8
563,board,27,13
564,network,27,16
565,check,26,15
566,current,26,18
567,sign,26,20
568,argue,26,17
569,protection,26,15
570,throughout,26,19
571,modern,26,16
572,relate,26,23
573,sound,26,19
574,analysis,26,13
575,conflict,26,15
576,professional,26,20
577,basic,26,17
578,responsible,26,16
579,monitor,26,11
580,production,26,13
581,inequality,26,9
582,grade,26,11
583,sit,26,14
584,international,26,14
585,respect,26,19
586,actor,26,5
587,nature,25,18
588,seek,25,18
589,perhaps,25,21
590,alone,25,19
591,several,25,21
592,ever,25,19
593,perform,25,19
594,billion,25,15
595,rely,25,18
596,deal,25,19
597,per,25,11
598,apply,25,18
599,boost,25,18
600,hope,25,17
601,senior,25,10
602,majority,25,14
603,observe,25,17
604,people's,25,11
605,post,25,12
606,professor,25,14
607,quite,25,21
608,tourist,25,8
609,insect,25,7
610,classical,25,5
611,audience,25,8
612,female,25,6
613,method,25,13
614,desire,25,17
615,generally,24,23
616,diet,24,11
617,adolescent,24,6
618,ideal,24,12
619,ecosystem,24,12
620,sea,24,10
621,land,24,14
622,baby,24,12
623,user,24,10
624,amount,24,19
625,trade,24,8
626,interaction,24,19
627,disease,24,14
628,paint,24,12
629,describe,24,17
630,aim,24,17
631,signal,24,8
632,shop,24,13
633,significant,24,21
634,add,24,20
635,psychology,24,9
636,introduce,24,15
637,type,24,15
638,occur,24,16
639,region,24,13
640,spider,24,2
641,pressure,23,15
642,safe,23,18
643,adopt,23,21
644,true,23,20
645,wealth,23,12
646,supply,23,14
647,rat,23,16
648,failure,23,16
649,adapt,23,20
650,week,23,16
651,damage,23,15
652,productivity,23,12
653,shift,23,15
654,vehicle,23,11
655,fashion,23,9
656,successful,23,14
657,together,23,17
658,guideline,23,9
659,carry,23,19
660,tool,23,16
661,despite,23,17
662,struggle,23,16
663,operate,23,16
664,participant,23,15
665,creativity,23,12
666,name,23,13
667,topic,23,12
668,institution,22,10
669,hand,22,17
670,promise,22,13
671,collect,22,15
672,man,22,15
673,long-term,22,16
674,race,22,9
675,whole,22,18
676,expense,22,17
677,fund,22,13
678,charge,22,13
679,push,22,17
680,eye,22,14
681,feature,22,17
682,general,22,15
683,educational,22,15
684,upon,22,18
685,strike,22,17
686,kill,22,14
687,detail,22,14
688,aspect,22,15
689,although,22,16
690,temperature,22,10
691,establish,22,20
692,resident,22,10
693,travel,22,15
694,passion,22,6
695,south,22,13
696,instruction,22,11
697,chance,22,15
698,visit,22,15
699,schedule,22,15
700,realize,22,16
701,imagine,21,17
702,essential,21,17
703,organization,21,14
704,air,21,15
705,towards,21,16
706,decline,21,18
707,clean,21,11
708,unfinished,21,21
709,solve,21,17
710,attend,21,14
711,story,21,13
712,investment,21,14
713,fear,21,14
714,drink,21,12
715,overall,21,17
716,treat,21,16
717,famous,21,12
718,daily,21,20
719,voice,21,10
720,threat,21,17
721,weight,21,13
722,office,21,15
723,emotion,21,14
724,recently,21,18
725,piece,21,16
726,track,21,16
727,fuel,21,11
728,absence,21,7
729,bird,21,9
730,men,21,8
731,email,21,13
732,diversity,21,13
733,achievement,21,17
734,argument,21,13
735,debris,21,4
736,gap,21,13
737,strange,21,8
738,flood,21,10
739,marine,21,6
740,trust,21,15
741,relevant,21,14
742,rice,21,1
743,period,20,11
744,recovery,20,4
745,necessary,20,15
746,ignore,20,16
747,pursue,20,12
748,dream,20,12
749,generation,20,15
750,simple,20,13
751,citizen,20,11
752,wealthy,20,18
753,respond,20,16
754,mother,20,8
755,smart,20,12
756,manufacturer,20,6
757,treatment,20,10
758,rule,20,16
759,drop,20,15
760,waste,20,10
761,kitchen,20,3
762,nothing,20,16
763,fight,20,13
764,emotional,20,14
765,specific,20,16
766,spread,20,16
767,presence,20,10
768,carbon,20,11
769,fee,20,11
770,consume,20,13
771,position,20,8
772,retail,20,4
773,complete,20,13
774,special,20,17
775,interact,20,12
776,editor,20,2
777,telemedicine,20,1
778,operation,19,10
779,available,19,13
780,rate,19,14
781,win,19,16
782,lifestyle,19,14
783,worth,19,14
784,well-being,19,15
785,conclusion,19,17
786,warn,19,15
787,innovation,19,8
788,talent,19,15
789,pattern,19,17
790,official,19,11
791,outside,19,17
792,bill,19,6
793,proposal,19,9
794,film,19,6
795,else,19,14
796,represent,19,14
797,recognition,19,15
798,trouble,19,15
799,cultivate,19,13
800,strive,19,12
801,leader,19,12
802,party,19,10
803,awareness,19,18
804,agreement,19,10
805,designer,19,7
806,motivate,19,13
807,anxiety,19,10
808,survive,19,13
809,near,19,17
810,taste,19,12
811,engineer,19,16
812,heart,19,12
813,conduct,19,15
814,discover,19,16
815,road,19,10
816,happiness,19,6
817,chimp,19,1
818,examine,18,14
819,vary,18,15
820,crisis,18,11
821,enhance,18,16
822,loss,18,13
823,lay,18,12
824,attitude,18,11
825,ago,18,14
826,five,18,14
827,priority,18,14
828,technological,18,10
829,repeat,18,11
830,ready,18,18
831,quickly,18,17
832,combine,18,13
833,oppose,18,12
834,package,18,7
835,cover,18,13
836,mostly,18,15
837,news,18,16
838,implement,18,16
839,accelerate,18,14
840,nearly,18,14
841,chemical,18,13
842,function,18,16
843,artist,18,10
844,normal,18,12
845,description,18,9
846,tree,18,7
847,reveal,18,17
848,remember,18,12
849,psychological,18,10
850,define,18,13
851,intelligence,18,11
852,emerge,18,11
853,outcome,18,15
854,useful,18,10
855,advocate,18,15
856,response,18,11
857,crop,18,9
858,owner,18,10
859,war,18,11
860,yellow,18,4
861,efficiency,17,12
862,expand,17,15
863,speed,17,13
864,refer,17,14
865,intervention,17,10
866,sure,17,16
867,powerful,17,12
868,agency,17,10
869,proportion,17,8
870,debt,17,6
871,material,17,13
872,release,17,11
873,sustainable,17,13
874,novel,17,15
875,unemployment,17,4
876,purpose,17,15
877,death,17,11
878,widely,17,15
879,safety,17,13
880,hundred,17,13
881,lake,17,2
882,cook,17,10
883,middle,17,15
884,anything,17,15
885,walk,17,13
886,connection,17,16
887,teen,17,6
888,associate,17,13
889,staff,17,10
890,object,17,12
891,vital,17,13
892,extreme,17,13
893,score,17,10
894,behind,17,16
895,reserve,17,8
896,station,17,9
897,habitat,17,11
898,suppose,17,14
899,male,17,8
900,count,17,12
901,lifelong,17,3
902,pursuit,17,11
903,compel,17,11
904,perspective,17,11
905,debate,17,14
906,conservation,17,8
907,cell,17,10
908,phenomenon,17,11
909,identity,17,8
910,grass-fed,17,1
911,variability,17,1
912,improvement,16,11
913,acquire,16,13
914,vacation,16,10
915,statistic,16,12
916,grind,16,13
917,sufficient,16,13
918,one's,16,8
919,pas,16,13
920,insurance,16,6
921,urge,16,12
922,celebrity,16,6
923,worldwide,16,12
924,fully,16,12
925,cooperation,16,10
926,toward,16,13
927,shape,16,14
928,federal,16,9
929,message,16,12
930,rest,16,10
931,style,16,12
932,practical,16,13
933,weather,16,11
934,basis,16,12
935,replace,16,14
936,fly,16,10
937,partner,16,9
938,white,16,10
939,gene,16,8
940,conducive,16,13
941,sport,16,8
942,trait,16,12
943,organic,16,4
944,capability,16,9
945,total,16,9
946,crowd,16,10
947,socially,16,7
948,dietary,16,5
949,bilingual,16,1
950,medicine,15,9
951,disaster,15,5
952,difficulty,15,11
953,wide,15,12
954,summer,15,9
955,demonstrate,15,13
956,entire,15,11
957,ecological,15,7
958,thrive,15,14
959,completely,15,13
960,generate,15,11
961,danger,15,11
962,political,15,11
963,depression,15,8
964,head,15,11
965,competitive,15,13
966,greatly,15,13
967,decrease,15,12
968,welfare,15,6
969,propose,15,13
970,provider,15,6
971,electronic,15,9
972,jam,15,6
973,main,15,13
974,harmful,15,12
975,opinion,15,15
976,fit,15,12
977,rapid,15,14
978,recover,15,11
979,campaign,15,9
980,meal,15,10
981,series,15,11
982,second,15,11
983,interview,15,13
984,immediate,15,12
985,director,15,11
986,west,15,10
987,bite,15,13
988,sacrifice,15,10
989,perfect,15,10
990,rarely,15,12
991,ancient,15,10
992,plastic,15,3
993,firm,15,8
994,transportation,15,6
995,effectively,15,12
996,hardly,15,13
997,holiday,15,11
998,illustrate,15,12
999,application,15,14
1000,expectation,15,12
